QueryID,Tables,safebound_Estimate,safebound_InferenceTime
73,T MC MK,110868.5555555558,2.822
74,T MC,1274246.0,1.546
74,T MK,795.0,1.3760000000000001
74,MC MK,45278.0,0.764
74,T MC MK,45277.99999999999,2.335
75,T MC,1274246.0,1.704
75,T MK,838.0,1.508
75,MC MK,47276.0,0.789
75,T MC MK,47276.0,2.585
76,T MC,1307691.0,1.003
76,T MK,997.0,1.16
76,MC MK,56073.01014729952,0.431
76,T MC MK,59760.80851063829,1.688
77,T MC,293.0,1.7930000000000001
77,T MK,340.0050944444444,1.7619999999999998
77,MC MK,20766.888888888887,0.633
77,T MC MK,1525.414333591132,2.859
78,T MC,307737.0,1.702
78,T MK,1271.0,1.8010000000000002
78,MC MK,67493.8802431611,0.446
78,T MC MK,45053.127108350585,2.821
79,T MC,615629.9999999999,1.031
79,T MK,1102.0,0.891
79,MC MK,58400.0,0.766
79,T MC MK,48797.96747640498,1.647
80,T MC,1281.0,1.395
80,T MK,379.0,1.6039999999999999
80,MC MK,27551.753191489363,0.426
80,T MC MK,4909.000000000001,2.303
81,T MC,154292.0,1.23
81,T MK,362.4412944444444,1.189
81,MC MK,20766.888888888887,0.62
81,T MC MK,12783.861688936182,2.438
82,T MC,293.0,1.2570000000000001
82,T MK,544.0,0.9520000000000001
82,MC MK,49764509.90950257,0.58
82,T MC MK,39168.0,1.74
83,T MC,1274246.0,1.135
83,T MK,382.627641649354,0.971
83,MC MK,20766.888888888887,0.602
83,T MC MK,20893.355644444444,1.83
84,T MC,19219.000000000007,2.917
84,T MK,342.7933944444444,3.076
84,MC MK,10449.11111111111,0.5820000000000001
84,T MC MK,6699.253727707411,5.369
85,T MC,1155.9999999999995,1.625
85,T MK,340.0395944444444,1.564
85,MC MK,20766.888888888887,0.602
85,T MC MK,2923.025288888889,2.528
86,T MC,1307691.0,1.514
86,T MK,382.627641649354,1.5070000000000001
86,MC MK,10449.11111111111,0.5910000000000001
86,T MC MK,10573.402993936112,2.814
87,T MC,293.0,0.941
87,T MK,887.0,1.487
87,MC MK,53939.5490944994,0.434
87,T MC MK,2637.0,1.949
88,T MC,615637.0,2.106
88,T MK,948.0,1.83
88,MC MK,51820.0,0.8109999999999999
88,T MC MK,43900.89579163024,3.241
89,T MC,293.0,1.116
89,T MK,544.0,1.147
89,MC MK,55519141.22824458,0.259
89,T MC MK,39168.0,1.772
90,T MC,717308.0,1.66
90,T MK,1508.0,1.5250000000000001
90,MC MK,73944.0,0.771
90,T MC MK,37060.0,2.553
91,T MC,25002.85341368285,2.297
91,T MK,838.0,2.1069999999999998
91,MC MK,47276.0,0.753
91,T MC MK,18728.000000000007,3.606
92,T MC,1107987.0,1.598
92,T MK,551.0,1.49
92,MC MK,20492.0,0.7290000000000001
92,T MC MK,19468.313662085693,2.484
93,T MC,539208.9999999997,2.2230000000000003
93,T MK,2789.0000000000005,3.057
93,MC MK,123537.56915283298,0.456
93,T MC MK,46831.61158144919,4.405
94,T MC,1274246.0,0.983
94,T MK,2789.0000000000005,0.897
94,MC MK,118618.0,0.776
94,T MC MK,117841.00000000004,1.6039999999999999
95,T MC,1231062.9999999998,1.366
95,T MK,2926.0,1.5150000000000001
95,MC MK,128247.56915283298,0.462
95,T MC MK,128563.80513578258,2.2880000000000003
96,T MC,453026.0,1.925
96,T MK,429335.0497338551,2.686
96,MC MK,55519141.22824458,0.254
96,T MC MK,3505293.682045224,4.36
97,T MC,3236.0,1.863
97,T MK,3497.0211640211696,1.55
97,MC MK,49764509.90950257,0.58
97,T MC MK,126737.77248677248,2.716
98,T MC,2320.0,1.856
98,T MK,1343.0,1.7910000000000001
98,MC MK,67550.0,0.742
98,T MC MK,8521.553846153849,2.978
99,T MC,2210.0000000000005,1.501
99,T MK,8136.000000000001,1.1820000000000002
99,MC MK,49764509.90950257,0.612
99,T MC MK,191028.6075327326,2.1919999999999997
100,T MC,293.0,1.955
100,T MK,411.0,1.942
100,MC MK,29430.0,0.736
100,T MC MK,2636.999999999999,3.075
101,T MC,889.0000000000002,2.154
101,T MK,671.0,2.029
101,MC MK,58400.0,0.743
101,T MC MK,5277.999999999999,3.372
102,T MC,307737.0,1.5839999999999999
102,T MK,718.0,1.502
102,MC MK,23750.0,0.737
102,T MC MK,23162.000000000007,2.5300000000000002
103,T MC,307737.0,1.835
103,T MK,362.43989444444446,1.8439999999999999
103,MC MK,20766.888888888887,0.625
103,T MC MK,14767.214502898543,3.3019999999999996
104,T MC,1231232.0,0.948
104,T MK,1102.0,0.8019999999999999
104,MC MK,58400.0,0.771
104,T MC MK,54260.9806763285,1.489
105,T MC,39399.00000000001,1.964
105,T MK,343.8793944444444,2.06
105,MC MK,20766.888888888887,0.623
105,T MC MK,10637.45739444444,3.428
106,T MC,1307691.0,1.532
106,T MK,382.6276416493543,1.582
106,MC MK,10449.11111111111,0.5910000000000001
106,T MC MK,10574.065296531273,2.8489999999999998
107,T MC,35688.99999999999,2.022
107,T MK,64470.05276513936,2.043
107,MC MK,30259050.49214346,0.5569999999999999
107,T MC MK,1105679.241515014,3.6809999999999996
108,T MC,1274246.0,1.603
108,T MK,3317.541180538244,1.74
108,MC MK,139242.0,0.805
108,T MC MK,138771.37719999987,3.056
109,T MC,1274246.0,1.539
109,T MK,602.0,1.371
109,MC MK,39200.0,0.742
109,T MC MK,39199.99999999999,2.3240000000000003
110,T MC,52796.000000000015,1.788
110,T MK,4059.0,2.058
110,MC MK,164201.51751033988,0.474
110,T MC MK,56734.0,3.1
111,T MI,1617.0,1.4469999999999998
111,T MK,613.0,1.459
111,MI MK,59021.0,0.8059999999999999
111,T MI MK,13528.454545454544,2.496
112,T MI,6621.000000000002,1.377
112,T MK,1087258.0,0.9520000000000001
112,MI MK,1898508.6112956828,0.5429999999999999
112,T MI MK,1475059.6204966495,1.964
113,T MI,199784.88795,3.09
113,T MK,343.63479444444454,2.557
113,MI MK,33174.66666666666,0.74
113,T MI MK,33193.09643879511,5.229
114,T MI,6066503.659488578,1.846
114,T MK,2238.0,1.591
114,MI MK,1093131.082990736,0.517
114,T MI MK,802315.3319101434,2.846
115,T MI,53425.90786718083,2.401
115,T MK,11655.0,1.74
115,MI MK,914276.0,1.001
115,T MI MK,246138.63146872327,3.677
116,T MI,147487.0,2.3609999999999998
116,T MK,9942.0,1.89
116,MI MK,337280.0,1.075
116,T MI MK,337279.9999999999,3.729
117,T MI,13162.0234,2.84
117,T MK,2614.0,2.368
117,MI MK,339513.0,0.9859999999999999
117,T MI MK,69408.04749999994,4.731
118,T MI,147487.00000000006,1.996
118,T MK,208164.0,1.436
118,MI MK,29440880.13683153,0.796
118,T MI MK,10057038.000000004,2.84
119,T MI,6586575.554856569,1.851
119,T MK,2088.0,1.661
119,MI MK,1045758.082990736,0.6130000000000001
119,T MI MK,878023.7099423273,2.784
120,T MI,598458.0,2.8489999999999998
120,T MK,382.6276416493543,2.347
120,MI MK,74726.99999999999,0.825
120,T MI MK,74466.47012222219,4.812
121,T MI,1298989.0,1.277
121,T MK,2926.0,1.2650000000000001
121,MI MK,51448.0,0.8170000000000001
121,T MI MK,51448.0,2.085
122,T MI,2175413.0,1.444
122,T MK,2088.0,1.01
122,MI MK,151072.0,0.858
122,T MI MK,151072.0,2.25
123,T MI,2069517.0,1.66
123,T MK,339.99999999999994,1.535
123,MI MK,269048.46664677095,0.333
123,T MI MK,79019.19714994972,2.467
124,T MI,2433906.000000001,1.65
124,T MK,2417.0000000000005,1.4469999999999998
124,MI MK,1237616.1521015647,0.606
124,T MI MK,659321.2928171245,2.666
125,T MI,8286.000000000002,2.869
125,T MK,1271.0,2.453
125,MI MK,43214.0,0.789
125,T MI MK,21516.00000000012,4.183
126,T MI,1617.0,0.752
126,T MK,346.2411173731929,0.657
126,MI MK,36261.0,0.953
126,T MI MK,7134.125580711721,1.24
127,T MI,368218.00000000006,1.683
127,T MK,2417.0,1.528
127,MI MK,196846.0,0.879
