QueryID,Tables,lpbound_Estimate
81,MC T,221042.0
81,MK T,142.99999999999997
81,MC MK,8264.329133063595
81,MC MK T,6274.98398320985
82,MC T,166.99999999999997
82,MK T,150.00000000000006
82,MC MK,42993041.665412776
82,MC MK T,1039.3186354087957
83,MC T,1274245.9999999981
83,MK T,253.0000000000002
83,MC MK,13206.000000000005
83,MC MK T,13206.000000000022
84,MC T,27484.99999999996
84,MK T,132.00000000000009
84,MC MK,4355.108360139371
84,MC MK T,3407.126030535288
85,MC T,516.9999999999998
85,MK T,130.4760514424007
85,MC MK,7712.594097808338
85,MC MK T,525.0799939056905
86,MC T,1220675.6491320634
86,MK T,132.00000000000009
86,MC MK,4355.108360139371
86,MC MK T,4355.108360139371
87,MC T,167.99999999999994
87,MK T,32.0
87,MC MK,21755.00668993236
87,MC MK T,130.96564434995918
88,MC T,1070559.9999999984
88,MK T,916.0000000000009
88,MC MK,39551.10779097419
88,MC MK T,37684.998275492835
89,MC T,288.9999999999999
89,MK T,1750.9999999999998
89,MC MK,59253999.48506835
89,MC MK T,47590.7266387056
90,MC T,717307.9999999986
90,MK T,1507.9999999999993
90,MC MK,58933.65094280949
90,MC MK T,25588.59704656815
91,MC T,24725.99999999998
91,MK T,826.0000000000015
91,MC MK,36410.47218968212
91,MC MK T,10963.252801974459
92,MC T,1117389.9999999965
92,MK T,535.9999999999992
92,MC MK,12434.338375763271
92,MC MK T,12434.338375763256
93,MC T,597474.9999999983
93,MK T,2637.000000000004
93,MC MK,99714.51810843758
93,MC MK T,39570.58027371977
94,MC T,1274246.0000000012
94,MK T,2620.000000000002
94,MC MK,90189.73084112396
94,MC MK T,90189.73084112396
95,MC T,1070559.9999999984
95,MK T,2926.0000000000005
95,MC MK,106872.96446377608
95,MC MK T,91171.73007943247
96,MC T,634273.9999999978
96,MK T,545408.0000000002
96,MC MK,59253999.48506835
96,MC MK T,4541452.733275792
97,MC T,1646.0000000000005
97,MK T,3499.999999999999
97,MC MK,42993041.665412776
97,MC MK T,46637.45168853036
98,MC T,1099.0000000000018
98,MK T,256.0
98,MC MK,51884.19084668368
98,MC MK T,1020.8702170207541
99,MC T,1869.0000000000005
99,MK T,4296.999999999998
99,MC MK,42993041.665412776
99,MC MK T,81010.00509196364
100,MC T,398.9999999999998
100,MK T,128.0
100,MC MK,19999.63392706782
100,MC MK T,398.9999999999998
101,MC T,323.9999999999999
101,MK T,64.0
101,MC MK,45388.45392636983
101,MC MK T,323.9999999999999
102,MC T,351088.9999999991
102,MK T,683.9999999999998
102,MC MK,14929.35914483667
102,MC MK T,14929.35914483667
103,MC T,351088.9999999991
103,MK T,132.00000000000009
103,MC MK,7712.594097808338
103,MC MK T,6179.880173170363
104,MC T,1274246.0000000012
104,MK T,1016.9999999999986
104,MC MK,42402.99999999994
104,MC MK T,42402.99999999989
105,MC T,37829.99999999997
105,MK T,132.00000000000009
105,MC MK,7712.594097808338
105,MC MK T,3941.6846788409994
106,MC T,1117389.9999999965
106,MK T,132.00000000000009
106,MC MK,4355.108360139371
106,MC MK T,4355.108360139371
107,MC T,33485.99999999998
107,MK T,64469.0
107,MC MK,24626110.318643
107,MC MK T,1161732.2597078884
108,MC T,1274245.9999999981
108,MK T,1056.9999999999982
108,MC MK,44401.119325677224
108,MC MK T,44401.119325677166
109,MC T,1274245.9999999981
109,MK T,596.9999999999995
109,MC MK,27806.45413974895
109,MC MK T,27806.454139748916
110,MC T,52795.99999999996
110,MK T,2048.999999999999
110,MC MK,74783.43416493508
110,MC MK T,26926.734113144867
111,MI T,771.9999999999997
111,MK T,32.0
111,MI MK,47065.56333580407
111,MI MK T,568.4505255516966
112,MI T,6619.999999999996
112,MK T,1904887.9999999998
112,MI MK,1748352.9872341156
112,MI MK T,1422032.0111908487
113,MI T,199783.0000000002
113,MK T,132.00000000000009
113,MI MK,11931.527308791312
113,MI MK T,11931.527308791312
114,MI T,6662742.000000004
114,MK T,2236.999999999999
114,MI MK,856198.5554992474
114,MI MK T,624270.2127528291
115,MI T,35128.00000000001
115,MK T,2512.2012009505024
115,MI MK,526142.4251711698
115,MI MK T,45936.87126149205
116,MI T,147487.00000000012
116,MK T,9942.0
116,MI MK,161909.65433968717
116,MI MK T,161909.65433968717
117,MI T,6072.000000000001
117,MK T,357.928122742814
117,MI MK,197749.7696382982
117,MI MK T,9650.305791437804
118,MI T,147487.00000000012
118,MK T,208163.9999999999
118,MI MK,30162208.043085847
118,MI MK T,7866255.56149837
119,MI T,5837584.000000003
119,MK T,1002.9999999999994
119,MI MK,435526.2884472288
119,MI MK T,432241.66019459156
120,MI T,598456.999999999
120,MK T,132.00000000000009
120,MI MK,39005.16076424202
120,MI MK T,39005.160764242115
121,MI T,985279.7961101143
121,MK T,2861.000000000002
121,MI MK,19809.962296375234
121,MI MK T,19809.962296375255
122,MI T,3036718.9999999977
122,MK T,2024.0000000000002
122,MI MK,115520.00186241708
122,MI MK T,115520.00186241708
123,MI T,2069516.9999999925
123,MK T,132.00000000000009
123,MI MK,120205.49984505685
123,MI MK T,40066.172632635265
124,MI T,1903255.9999999963
124,MK T,2372.9999999999995
124,MI MK,881841.1644003696
124,MI MK T,345828.48630643485
125,MI T,4941.0
125,MK T,256.0
125,MI MK,13186.958333722523
125,MI MK T,3660.832677220362
126,MI T,2061.4216672151215
126,MK T,102.00000000000003
126,MI MK,18737.287168360275
126,MI MK T,2061.4216672151215
127,MI T,368217.9999999999
127,MK T,2299.9999999999995
127,MI MK,119597.92305888914
127,MI MK T,119597.92305888914
128,MI T,4999.999999999997
128,MK T,132.00000000000009
128,MI MK,15548.508993494617
128,MI MK T,4686.394136220301
129,MI T,368217.9999999999
129,MK T,1026.9999999999998
129,MI MK,76957.40012634473
129,MI MK T,76957.40012634473
130,MI T,1509954.82110393
130,MK T,2886675.0
130,MI MK,20741573.89165342
130,MI MK T,15672203.306791296
131,MI T,109033.99999999981
131,MK T,132.00000000000009
131,MI MK,17766.48082930332
131,MI MK T,17766.48082930332
132,MI T,8301049.0000000065
132,MK T,1075.0000000000005
132,MI MK,534015.3014212225
132,MI MK T,520172.74239266926
133,MI T,598457.0000000003
133,MK T,5870.999999999999
133,MI MK,343948.31305735407
133,MI MK T,343948.31305735407
