QueryID,safebound_Estimate,safebound_InferenceTime
73,69725704.78014466,2.6710000000000003
74,1883837.000000001,1.9980000000000002
75,1658201.20609016,3.049
76,109956.0,1.843
77,36039.0,2.523
78,3720121.32207371,3.654
79,2010373.279203899,3.156
80,126953.79380321957,1.915
81,416798.0,2.478
82,24623691.41553941,2.006
83,25258.2269082814,2.083
84,1257808.3353134654,1.776
85,23382661.006674174,2.689
86,216351.1352338543,4.54
87,47333.47625649973,3.14
88,96392.90896775466,0.639
89,135042.76190560253,2.507
90,492852.9536980683,3.4090000000000003
91,4564495.895809553,3.5140000000000002
92,100900.86176727909,2.427
93,81576969.78872663,2.719
94,215933.0,1.56
95,743092.8837116366,3.833
96,55880584.55042265,1.399
97,173248853.50477794,2.699
98,22541.89959489605,2.554
99,296563.0,2.634
100,173024.0,3.234
101,3223909.137465533,1.95
102,181872.8887754244,2.801
103,255786.72988700063,2.65
104,137.0,1.332
105,12670687.999999998,2.173
106,1016774.0,1.709
107,1086809.0,1.965
108,487796.81486268446,3.6020000000000003
109,82576.0,2.897
110,3654951.000000002,2.834
111,4008064.818650007,2.1580000000000004
112,1703544.0,1.517
113,379551.0,2.141
114,2323820.0,1.613
115,3212.6318713702685,2.7030000000000003
116,7451973.000000003,1.4040000000000001
117,8189.02037265695,2.3379999999999996
118,12670688.0,1.4289999999999998
119,12670688.0,1.943
120,293173.0,1.693
121,460613.3559366772,1.4549999999999998
122,1513034.000000001,2.143
123,2728942.9999999995,1.09
124,13266.000000000002,2.99
125,3212.631871370269,1.289
126,2478571.9999999995,1.661
127,220725.0,2.039
128,76275.99999999999,2.774
129,3212.631871370269,1.818
130,3212.63187137027,1.1820000000000002
131,3212.631871370269,0.891
132,182222.0,1.441
133,9989072.30733396,2.994
134,10415.000000000002,1.607
135,12670688.0,1.453
136,8189.000000000004,2.972
137,3212.63187137027,2.433
138,9650267.666139232,2.618
139,105662.96048324351,4.4879999999999995
140,37674085.01057498,1.935
141,24106.31717555882,3.045
142,1841596.7442755136,3.606
143,29880655.113155875,3.534
144,2052923.312967734,3.097
145,14446863.235389773,3.191
146,10171190.0,2.754
147,72626.84508891884,2.947
148,3237275.035187703,2.133
149,277625.0102637769,3.415
150,3439202.9999999977,3.4589999999999996
151,6000202.594157896,3.922
152,20254273.96624397,2.6809999999999996
153,35537156.0,1.5870000000000002
154,6321366.000000001,2.146
155,10188361.285203824,2.684
156,35537156.000000015,2.8600000000000003
157,39234.68336241593,1.827
158,32643238.05434146,2.777
159,60537166.71998014,2.727
160,3896595.055322247,3.33
161,508421.9079802444,3.857
162,3779828.055085093,3.367
163,5879879.333783343,3.214
164,44025076.99999999,2.504
165,9417249.992548011,3.444
166,675270.4342784857,2.745
167,542014.0000000001,3.729
168,174019.09710543384,2.9250000000000003
169,69725704.78014466,3.176
170,11052850.26676089,3.332
171,9360985.529503183,2.214
172,4304773.28680354,4.051
173,1682005.6077919183,3.611
174,4875885.0,2.786
175,1065960.7145000005,3.0500000000000003
176,891829.4929972364,4.388000000000001
177,6788373.999999999,1.317
178,25735224.937186483,2.958
179,202048.69095478265,2.8739999999999997
180,716052.0000000003,3.0300000000000002
181,4340000.872950779,2.976
182,68955.59570507852,3.106
183,670827.6992393057,3.5660000000000003
184,116424.0,2.098
185,45625380.950156026,1.5399999999999998
186,202632.65916843663,4.204000000000001
187,5362926.0,1.838
188,8892144.000000002,3.219
189,465696.0,2.4459999999999997
190,25791.206512904708,3.8960000000000004
191,4875885.0,3.057
192,3392455.999999999,2.581
193,8953232.986472182,8.09
194,28330.000000000076,3.972
195,34176.22162180965,2.111
196,9735368.760294784,1.7260000000000002
197,663136.0,2.18
198,618900.0000000002,4.038
199,1001547.053233054,1.661
200,3967571.780453436,2.404
201,419941.7307467968,4.002000000000001
202,608628.0000000001,2.3579999999999997
203,17913319.749209646,2.372
204,26444.48834993052,2.467
205,30586020.620866414,2.382
206,45372.40049193138,3.777
207,384268.0,1.484
208,5434.333333333334,2.796
209,51272.0,2.343
210,52764.28893488963,1.9269999999999998
211,14553.0,3.741
212,4172.055454185756,1.853
213,561432.0167814562,3.369
214,104592117.33849972,3.62
215,333927582.58570623,3.621
216,4878914.425531914,1.518
217,4164000.000000001,1.2570000000000001
218,63897370.32326435,2.3379999999999996
219,67962383.78303903,1.469
220,5299989.111111111,1.177
221,76723720.83485602,2.713
222,874971.3333333333,4.087000000000001
223,437179.3266544707,3.973
224,1883291.2941176472,3.98
225,2455704.2600420085,2.5100000000000002
226,51692261.50778152,3.166
227,17568380.68302519,2.347
228,355986883.0000001,2.8939999999999997
229,271244211.5892073,4.811
230,18908638.47078849,1.278
231,1049579546.101859,2.871
232,9119907.999999998,2.1
233,5834516.736744844,2.811
234,44840830.3251285,2.2279999999999998
235,36974592.00000001,2.738
236,35241839.343258135,2.827
237,571707600.0689576,3.754
238,1906635229.6162925,1.97
239,1340082.710622736,3.042
240,2101606.145998299,2.155
241,8685528.04567051,2.884
242,4713390.372022264,3.3890000000000002
243,116612591.02414688,3.215
244,7277429.841522135,2.433
245,16372119.999999998,2.78
246,125036772.55417924,3.5860000000000003
247,7563377.935734,4.279
248,67971375.54231459,1.647
249,2360469685.372148,2.5469999999999997
250,5189987.142352484,2.7950000000000004
251,1492853593.4400964,1.564
252,769726.0,1.238
253,2418949.9999999995,3.743
254,6486284.444444446,1.719
255,11528320.000000002,1.2429999999999999
256,715199.1467613814,2.973
257,1213032.6860666662,2.3449999999999998
258,486389277.9600401,2.117
259,68120422.3762897,3.277
260,3479637.807645065,2.823
261,28863310.02206492,4.437
262,2795112.6103294566,2.462
263,1527313.494811159,3.312
264,7566614.4308030335,4.838
265,135827.99999999997,1.667
266,27881530.246433903,2.271
267,133319759.90268596,2.29
268,115771561.80669452,1.9789999999999999
269,72902665.99999997,1.5610000000000002
270,369589.8786804558,4.569
271,14832092.0,1.363
272,25523928.00000001,2.876
273,15155255.014915226,2.552
274,7996650.129690287,5.41
275,18690404.038784742,5.505000000000001
276,160871167.2046059,3.815
277,323870810.3889653,2.185
278,1453325.254325851,4.176
279,24226942.03359999,3.113
280,192603018.5393727,1.7129999999999999
281,254847840.9941896,2.383
282,108692828.25847924,4.0889999999999995
283,1397834120.765725,2.6220000000000003
284,17359525.81879565,2.025
285,101338155.5966866,3.185
286,796593235.8657582,2.153
287,3705115388.909341,2.85
288,320358270.8353178,3.265
289,454906646.2637499,2.7880000000000003
290,644324497.1912217,3.721
291,4253024036.997653,3.406
292,614351993.1699803,4.034000000000001
