QueryID,Tables,duckdb_Estimate,duckdb_InferenceTime
56,B P U,36425,2.1021366119384766
56,B P V,5781155,4.580497741699219
56,B U V,129925,5.793333053588867
56,P T U V,1679,6.7844390869140625
56,B P T U,408,8.430004119873047
56,B P T V,64866,6.206274032592773
56,B P U V,296343,8.816957473754883
56,B P T U V,3325,8.362531661987305
57,P T,1032,3.0868053436279297
57,P U,18395,2.2165775299072266
57,P V,535943,4.749298095703125
57,B P,71949,3.0422210693359375
57,U V,13122,5.084753036499023
57,B U,3194,4.163026809692383
57,B V,51326,1.7971992492675781
57,P T U,206,5.820989608764648
57,P T V,6013,6.592273712158203
57,B P T,807,3.081083297729492
57,P U V,29930,6.359577178955078
57,B P U,7285,5.202531814575195
57,B P V,231240,6.85429573059082
57,B U V,5196,5.011081695556641
57,P T U V,335,4.922389984130859
57,B P T U,81,9.254693984985352
57,B P T V,2594,6.652116775512695
57,B P U V,11853,10.017633438110352
57,B P T U V,132,8.861541748046875
58,P PL,2220,2.122163772583008
58,P U,3679,4.689216613769531
58,B P,14389,1.9977092742919922
58,P PH,19813,3.6559104919433594
58,P V,107187,4.317760467529297
58,B U,3194,1.7457008361816406
58,PH U,2425,3.4401416778564453
58,U V,13122,3.576517105102539
58,B PH,9487,2.5146007537841797
58,B V,51326,4.016399383544922
58,PH V,138776,4.233837127685547
58,P PL U,444,4.975795745849609
58,B P PL,1736,6.674289703369141
58,P PH PL,2391,4.647016525268555
58,P PL V,12938,7.08770751953125
58,B P U,1457,2.8655529022216797
58,P PH U,1106,3.950357437133789
58,P U V,5986,4.014253616333008
58,B P PH,8548,7.0247650146484375
58,B P V,46247,7.104158401489258
58,P PH V,115450,3.2088756561279297
58,B PH U,960,6.75654411315918
58,B U V,5196,4.483222961425781
58,PH U V,3946,7.436275482177734
58,B PH V,30491,4.376649856567383
58,B P PL U,175,9.40084457397461
58,P PH PL U,133,4.101753234863281
58,P PL U V,722,8.044004440307617
58,B P PH PL,1031,8.299112319946289
58,B P PL V,5582,9.07588005065918
58,P PH PL V,13935,6.376743316650391
58,B P PH U,438,9.201526641845703
58,B P U V,2370,5.141019821166992
58,P PH U V,1800,10.5133056640625
58,B P PH V,27474,6.829261779785156
58,B PH U V,1562,4.738807678222656
58,B P PH PL U,52,6.573677062988281
58,B P PL U V,286,6.371498107910156
58,P PH PL U V,217,11.814594268798828
58,B P PH PL V,3316,11.317014694213867
58,B P PH U V,712,7.385015487670898
58,B P PH PL U V,86,15.599966049194336
59,P PL,1110,3.9107799530029297
59,P U,3679,3.4818649291992188
59,B P,71949,4.535913467407227
59,P PH,19813,3.827333450317383
59,P V,107187,3.315448760986328
59,B U,15970,4.5337677001953125
59,PH U,2425,3.6635398864746094
59,U V,13122,3.345012664794922
59,B PH,47437,3.627300262451172
59,B V,256634,3.2896995544433594
59,PH V,138776,2.1140575408935547
59,P PL U,222,3.0803680419921875
59,B P PL,4342,4.195451736450195
59,P PH PL,1195,7.203102111816406
59,P PL V,6469,5.053043365478516
59,B P U,7285,7.51948356628418
59,P PH U,1106,5.272865295410156
59,P U V,5986,8.244037628173828
59,B P PH,42743,4.1484832763671875
59,B P V,231240,2.8166770935058594
59,P PH V,115450,4.557609558105469
59,B PH U,4803,6.650686264038086
59,B U V,25984,4.641056060791016
