QueryID,Tables,duckdb_Estimate,duckdb_InferenceTime
41,MC MI MK,343579,25.756120681762695
41,MC MI MK T,64385,20.743846893310547
42,MI T,39716,26.06964111328125
42,MK T,944777,2.147197723388672
42,MC T,544890,3.3371448516845703
42,MI MK,355327,25.3903865814209
42,MC MI,204931,19.298791885375977
42,MC MK,15849071,2.8963088989257812
42,MI MK T,66587,22.33433723449707
42,MC MI T,38403,18.99552345275879
42,MC MK T,1018071,4.776477813720703
42,MC MI MK,343579,26.242733001708984
42,MC MI MK T,64385,22.106170654296875
43,MI T,39716,23.482322692871094
43,MK T,944777,1.8084049224853516
43,MC T,544890,3.725767135620117
43,MI MK,355327,21.039247512817383
43,MC MI,204931,25.565385818481445
43,MC MK,15849071,2.9191970825195312
43,MI MK T,66587,21.019458770751953
43,MC MI T,38403,26.28469467163086
43,MC MK T,1018071,6.461381912231445
43,MC MI MK,343579,25.42591094970703
43,MC MI MK T,64385,27.032852172851562
44,CI T,27804532,1.6186237335205078
44,MK T,83,2.173185348510742
44,MC T,2724454,3.033876419067383
44,CI MK,879,4.395723342895508
44,CI MC,28693298,2.0630359649658203
44,MC MK,280,2.8176307678222656
44,CI MK T,674,3.345966339111328
44,CI MC T,22011813,3.9086341857910156
44,MC MK T,90,5.555152893066406
44,CI MC MK,696,5.410909652709961
44,CI MC MK T,534,8.154630661010742
45,MI T,198583,4.015922546386719
45,MI_IDX T,360258,63.85540962219238
45,CI T,27804532,4.7817230224609375
45,MI MI_IDX,27098,11.400461196899414
45,CI MI,2330750,3.498554229736328
45,CI MI_IDX,3794157,8.388519287109375
45,MI MI_IDX T,25390,5.514621734619141
45,CI MI T,1788015,6.476163864135742
45,CI MI_IDX T,2910654,9.339332580566406
45,CI MI MI_IDX,243989,5.974769592285156
45,CI MI MI_IDX T,187174,10.332584381103516
46,MI T,39716,12.63880729675293
46,MI_IDX T,72051,6.901025772094727
46,CI T,5560902,2.8891563415527344
46,MI MI_IDX,27098,19.488811492919922
46,CI MI,2330750,10.2081298828125
46,CI MI_IDX,3794157,4.993200302124023
46,MI MI_IDX T,5078,17.685413360595703
46,CI MI T,357602,14.854669570922852
46,CI MI_IDX T,582130,8.473634719848633
46,CI MI MI_IDX,243989,17.819643020629883
46,CI MI MI_IDX T,37434,18.835067749023438
47,MI T,198583,11.035442352294922
47,MI_IDX T,360258,9.769201278686523
47,CI T,27804532,2.8095245361328125
47,MI MI_IDX,27098,20.39170265197754
47,CI MI,2330750,15.368461608886719
47,CI MI_IDX,3794157,8.441925048828125
47,MI MI_IDX T,25390,18.496274948120117
47,CI MI T,1788015,12.85243034362793
47,CI MI_IDX T,2910654,9.857416152954102
47,CI MI MI_IDX,243989,17.318248748779297
47,CI MI MI_IDX T,187174,18.4938907623291
48,MI T,39716,22.05801010131836
48,MC T,544890,5.013465881347656
48,CI T,505536,46.53453826904297
48,MC MI,204931,25.770187377929688
48,CI MI,211886,62.93630599975586
48,CI MC,2608482,39.015769958496094
48,MC MI T,38403,20.238161087036133
48,CI MI T,32509,61.58757209777832
48,CI MC T,400214,45.22204399108887
48,CI MC MI,167742,62.3779296875
48,CI MC MI T,25736,63.43436241149902
49,MI T,198583,18.75472068786621
49,MC T,2724454,3.515958786010742
49,CI T,2527685,48.38705062866211
49,MC MI,204931,17.951011657714844
49,CI MI,211886,60.571908950805664
49,CI MC,2608482,42.59657859802246
49,MC MI T,192017,25.624990463256836
49,CI MI T,162546,58.144330978393555
49,CI MC T,2001074,41.50795936584473
49,CI MC MI,167742,59.91339683532715
49,CI MC MI T,128682,54.327964782714844
50,MI T,39716,25.0241756439209
50,MC T,544890,4.804372787475586
50,CI T,505536,48.13885688781738
50,MC MI,204931,24.034976959228516
50,CI MI,211886,61.0048770904541
50,CI MC,2608482,44.59333419799805
50,MC MI T,38403,26.598215103149414
50,CI MI T,32509,63.7204647064209
50,CI MC T,400214,43.29705238342285
50,CI MC MI,167742,62.61277198791504
50,CI MC MI T,25736,60.17184257507324
51,MK T,787316,6.79779052734375
51,CI T,4634096,5.666494369506836
51,CI MK,49750884,1.5482902526855469
51,CI MK T,6361002,13.132095336914062
52,MK T,787316,12.223243713378906
52,CI T,4634096,8.481502532958984
52,CI MK,49750884,1.2099742889404297
52,CI MK T,6361002,12.772798538208008
53,MK T,16,2.4313926696777344
53,MC T,272445,9.740114212036133
53,MI T,2780168,1.7859935760498047
53,MC MK,140,16.790151596069336
53,MI MK,439,3.3426284790039062
53,MC MI,7172599,11.19852066040039
53,MC MK T,9,15.10000228881836
53,MI MK T,82,5.53131103515625
53,MC MI T,1344123,16.488075256347656
53,MC MI MK,212,9.954452514648438
53,MC MI MK T,39,13.168811798095703
54,MK T,16,3.969430923461914
54,MC T,272445,16.90077781677246
54,MI T,2780168,4.9495697021484375
54,MC MK,140,16.123533248901367
54,MI MK,439,3.6945343017578125
54,MC MI,7172599,16.422510147094727
54,MC MK T,9,18.380165100097656
54,MI MK T,82,3.088235855102539
54,MC MI T,1344123,9.332895278930664
54,MC MI MK,212,13.294458389282227
54,MC MI MK T,39,15.47551155090332
55,MK T,16,4.054546356201172
55,MC T,272445,15.229225158691406
55,MI T,2780168,2.2058486938476562
55,MC MK,140,9.888410568237305
55,MI MK,439,3.715038299560547
55,MC MI,7172599,16.861915588378906
55,MC MK T,9,10.617733001708984
55,MI MK T,82,4.157543182373047
55,MC MI T,1344123,9.592056274414062
55,MC MI MK,212,16.942501068115234
55,MC MI MK T,39,18.2034969329834
56,MI T,39716,17.513751983642578
56,MK T,944777,3.640413284301758
56,MI_IDX T,72051,9.228706359863281
56,MC T,544890,2.964496612548828
56,MI MK,355327,14.373540878295898
56,MI MI_IDX,27098,13.499736785888672
56,MC MI,204931,12.795448303222656
56,MI_IDX MK,16104300,7.668256759643555
56,MC MK,15849071,1.9695758819580078
56,MC MI_IDX,1208699,10.2691650390625
56,MI MK T,66587,14.579057693481445
56,MI MI_IDX T,5078,17.412900924682617
56,MC MI T,38403,14.297246932983398
56,MI_IDX MK T,134621,9.351730346679688
56,MC MK T,1018071,2.446413040161133
56,MC MI_IDX T,77641,9.110212326049805
56,MI MI_IDX MK,45431,16.65520668029785
56,MC MI MK,343579,13.927221298217773
56,MC MI MI_IDX,26202,17.312049865722656
56,MC MI_IDX MK,7342207,6.955862045288086
56,MI MI_IDX MK T,8513,15.7012939453125
56,MC MI MK T,64385,15.279531478881836
56,MC MI MI_IDX T,4910,12.76087760925293
56,MC MI_IDX MK T,145064,7.026195526123047
56,MC MI MI_IDX MK,43929,20.644187927246094
56,MC MI MI_IDX MK T,8232,18.869876861572266
57,MI T,39716,11.41047477722168
57,MK T,944777,3.338336944580078
57,MI_IDX T,72051,10.212421417236328
57,MC T,544890,1.8796920776367188
57,MI MK,355327,13.616323471069336
57,MI MI_IDX,27098,13.668298721313477
57,MC MI,204931,12.381315231323242
57,MI_IDX MK,16104300,9.227991104125977
57,MC MK,15849071,1.1529922485351562
57,MC MI_IDX,1208699,10.207891464233398
57,MI MK T,66587,14.785528182983398
57,MI MI_IDX T,5078,17.38715171813965
57,MC MI T,38403,13.946771621704102
57,MI_IDX MK T,134621,9.620904922485352
57,MC MK T,1018071,2.358675003051758
57,MC MI_IDX T,77641,9.487152099609375
57,MI MI_IDX MK,45431,16.636371612548828
57,MC MI MK,343579,10.432004928588867
57,MC MI MI_IDX,26202,20.33257484436035
57,MC MI_IDX MK,7342207,5.251884460449219
57,MI MI_IDX MK T,8513,17.690658569335938
57,MC MI MK T,64385,14.361143112182617
57,MC MI MI_IDX T,4910,18.708467483520508
57,MC MI_IDX MK T,145064,8.47625732421875
57,MC MI MI_IDX MK,43929,14.72783088684082
57,MC MI MI_IDX MK T,8232,18.81694793701172
58,MI T,39716,26.015758514404297
58,MC T,544890,4.847526550292969
58,CI T,505536,47.59502410888672
58,MK T,944777,3.8292407989501953
58,MC MI,204931,24.510860443115234
58,CI MI,211886,62.32118606567383
58,MI MK,355327,21.192073822021484
58,CI MC,2608482,47.661542892456055
58,MC MK,15849071,2.2835731506347656
58,CI MK,4522808,49.46112632751465
58,MC MI T,38403,19.296646118164062
58,CI MI T,32509,61.68842315673828
58,MI MK T,66587,26.49831771850586
58,CI MC T,400214,48.41113090515137
58,MC MK T,1018071,5.02467155456543
58,CI MK T,693926,39.864301681518555
58,CI MC MI,167742,59.520721435546875
58,MC MI MK,343579,25.856494903564453
58,CI MI MK,290846,55.205583572387695
58,CI MC MK,3580539,44.15297508239746
58,CI MC MI T,25736,59.81564521789551
58,MC MI MK T,64385,26.880502700805664
58,CI MI MK T,44624,62.90769577026367
58,CI MC MK T,549355,46.02527618408203
58,CI MC MI MK,230252,58.71915817260742
58,CI MC MI MK T,35327,65.74201583862305
59,MI T,39716,25.61354637145996
59,MC T,108977,19.759654998779297
59,CI T,505536,49.993038177490234
59,MK T,944777,4.806756973266602
59,MC MI,40986,26.099681854248047
59,CI MI,211886,64.27001953125
59,MI MK,355327,19.549846649169922
59,CI MC,521695,48.230886459350586
59,MC MK,3169809,2.6807785034179688
59,CI MK,4522808,45.415639877319336
59,MC MI T,7680,26.023149490356445
59,CI MI T,32509,55.075883865356445
59,MI MK T,66587,25.921344757080078
59,CI MC T,80042,45.65858840942383
59,MC MK T,203614,4.486799240112305
59,CI MK T,693926,45.93944549560547
59,CI MC MI,33548,60.55474281311035
59,MC MI MK,68715,26.571035385131836
59,CI MI MK,290846,62.81566619873047
59,CI MC MK,716106,48.13861846923828
59,CI MC MI T,5147,64.86272811889648
59,MC MI MK T,12877,27.34851837158203
59,CI MI MK T,44624,61.821937561035156
59,CI MC MK T,109870,49.12567138671875
59,CI MC MI MK,46050,60.411691665649414
59,CI MC MI MK T,7065,65.19508361816406
60,MI T,39716,25.871753692626953
60,MC T,544890,4.809141159057617
60,CI T,505536,42.84238815307617
60,MK T,944777,3.534078598022461
60,MC MI,204931,23.49376678466797
60,CI MI,211886,61.05947494506836
60,MI MK,355327,25.885581970214844
60,CI MC,2608482,46.80132865905762
60,MC MK,15849071,1.4073848724365234
60,CI MK,4522808,41.08238220214844
60,MC MI T,38403,23.952960968017578
60,CI MI T,32509,62.3471736907959
60,MI MK T,66587,26.856422424316406
60,CI MC T,400214,48.43735694885254
60,MC MK T,1018071,5.590200424194336
60,CI MK T,693926,47.63388633728027
60,CI MC MI,167742,59.36074256896973
60,MC MI MK,343579,26.3216495513916
60,CI MI MK,290846,61.97476387023926
60,CI MC MK,3580539,40.74859619140625
60,CI MC MI T,25736,59.40604209899902
60,MC MI MK T,64385,27.538061141967773
60,CI MI MK T,44624,60.62746047973633
60,CI MC MK T,549355,48.91777038574219
60,CI MC MI MK,230252,60.23120880126953
