QueryID,Tables,safebound_Estimate,safebound_InferenceTime
57,MI MK MC,509879451.7011238,0.7739999999999999
57,MI MI_IDX MC,6965794.670730757,0.901
57,MK MI_IDX MC,55519141.22824458,0.607
57,T MI MK MI_IDX,13718088.000000002,2.5469999999999997
57,T MI MK MC,381600667.0696744,2.3609999999999998
57,T MI MI_IDX MC,4930636.584169479,2.4499999999999997
57,T MK MI_IDX MC,32358764.498550504,1.812
57,MI MK MI_IDX MC,509879451.7011238,1.0759999999999998
57,T MI MK MI_IDX MC,381600667.0696744,2.964
58,T MI,2434007.9513346623,1.56
58,T MC,1107987.0,0.5640000000000001
58,T CI,7451973.000000001,1.078
58,MK T,1801372.0000000005,0.7200000000000001
58,MI MC,17723117.97481023,0.648
58,MI CI,41836275.99999999,0.976
58,MK MI,72088288.01908848,0.673
58,CI MC,36797048.23339826,0.584
58,MK MC,55519141.22824458,0.26899999999999996
58,MK CI,123861461.8266089,0.635
58,T MI MC,13518952.233379705,2.128
58,T MI CI,41218084.59430002,2.6470000000000002
58,T MI MK,48871818.00000002,2.2
58,T MC CI,25907547.331655476,1.588
58,T MC MK,32358764.498550504,1.171
58,T CI MK,72748160.00000003,1.678
58,MI MC CI,740432421.6921067,1.168
58,MI MC MK,1834479804.6150525,0.876
58,MI CI MK,3952644244.809493,1.2249999999999999
58,MC CI MK,2784433653.549,0.8360000000000001
58,T MI MC CI,670886727.8247776,3.07
58,T MI MC MK,1392263867.349363,2.628
58,T MI CI MK,3214406259.000001,3.1159999999999997
58,T MC CI MK,2043498971.8428867,2.091
58,MI MC CI MK,163443751577.6337,1.3519999999999999
58,T MI MC CI MK,136403942897.71864,3.552
59,T MI,2434007.9513346623,1.557
59,T MC,154.52444444444444,0.6449999999999999
59,T CI,7451973.000000001,1.0839999999999999
59,MK T,1801372.0000000005,0.722
59,MI MC,19006.506666666668,0.68
59,MI CI,41836275.99999999,1.002
59,MK MI,72088288.01908848,0.6759999999999999
59,CI MC,94259.91111111113,0.636
59,MK MC,83443.2,0.29100000000000004
59,MK CI,123861461.8266089,0.642
59,T MI MC,19006.50666666667,1.768
59,T MI CI,41218084.59430002,2.654
59,T MI MK,48871818.00000002,2.2009999999999996
59,T MC CI,94259.91111111113,1.423
59,T MC MK,83443.2,0.99
59,T CI MK,72748160.00000003,1.6800000000000002
59,MI MC CI,11593969.066666665,1.092
59,MI MC MK,10263513.6,0.723
59,MI CI MK,3952644244.809493,1.2329999999999999
59,MC CI MK,50900352.0,0.789
59,T MI MC CI,11593969.066666668,2.518
59,T MI MC MK,10263513.6,2.09
59,T MI CI MK,3214406259.000001,3.101
59,T MC CI MK,50900352.0,1.871
59,MI MC CI MK,6260743296.0,1.1260000000000001
59,T MI MC CI MK,6260743296.0,2.891
60,T MI,3036718.9999999986,1.253
60,T MC,1603462.0,0.515
60,T CI,7451973.0,0.9959999999999999
60,MK T,2946979.000000001,0.642
60,MI MC,17723117.97481023,0.639
60,MI CI,41836275.99999999,1.021
60,MK MI,72088288.01908848,0.755
60,CI MC,36797048.23339826,0.639
60,MK MC,55519141.22824458,0.279
60,MK CI,123861461.8266089,0.64
60,T MI MC,14573642.07535928,1.736
60,T MI CI,41836275.99999995,2.231
60,T MI MK,58713965.93827758,1.818
60,T MC CI,29677614.829209704,1.468
60,T MC MK,39853307.29538627,1.045
60,T CI MK,94747578.25984524,1.5659999999999998
60,MI MC CI,740432421.6921067,1.1509999999999998
60,MI MC MK,1834479804.6150525,0.876
60,MI CI MK,3952644244.809493,1.228
60,MC CI MK,2784433653.549,0.902
60,T MI MC CI,696549206.0442356,2.6510000000000002
60,T MI MC MK,1580938698.4906554,2.196
60,T MI CI MK,3567079467.213249,2.691
60,T MC CI MK,2360469685.37215,1.9369999999999998
60,MI MC CI MK,163443751577.6337,1.3539999999999999
60,T MI MC CI MK,155750203890.44803,3.0869999999999997
61,T MI,1533909.0,0.515
61,MI_IDX T,459925.0,0.36000000000000004
61,T CI,36244344.0,0.195
61,MK T,4523930.0,0.217
61,MI_IDX MI,1533909.0,0.723
61,MI CI,83574790.20576264,0.532
61,MK MI,27812897.62666552,0.583
61,MI_IDX CI,20200237.54669576,0.423
61,MI_IDX MK,4523930.0,0.451
61,MK CI,438622123.29793966,0.283
61,T MI MI_IDX,1533909.0,0.8720000000000001
61,T MI CI,83574790.20576264,0.65
61,T MI MK,27812897.62666552,0.6970000000000001
61,T MI_IDX CI,20200237.54669576,0.526
61,T MI_IDX MK,4523930.0,0.562
61,T CI MK,438622123.29793966,0.423
61,MI MI_IDX CI,83574790.20576264,0.879
61,MI MI_IDX MK,27812897.62666552,0.9129999999999999
61,MI CI MK,4445375668.348722,0.782
