QueryID,Tables,postgres_Estimate
66,MI MI_IDX MK,256254
66,MC MI MK,247888
66,MC MI MI_IDX,243160
66,MC MI_IDX MK,235633
66,MI MI_IDX MK T,248607
66,MC MI MK T,245713
66,MC MI MI_IDX T,243949
66,MC MI_IDX MK T,246429
66,MC MI MI_IDX MK,240059
66,MC MI MI_IDX MK T,225585
67,MI T,183193
67,MK T,187035
67,MI_IDX T,181032
67,MC T,175339
67,MI MK,168428
67,MI MI_IDX,185760
67,MC MI,173803
67,MI_IDX MK,171242
67,MC MK,183447
67,MC MI_IDX,178291
67,MI MK T,181679
67,MI MI_IDX T,174423
67,MC MI T,177700
67,MI_IDX MK T,185376
67,MC MK T,171541
67,MC MI_IDX T,182155
67,MI MI_IDX MK,183937
67,MC MI MK,179383
67,MC MI MI_IDX,187057
67,MC MI_IDX MK,175612
67,MI MI_IDX MK T,179924
67,MC MI MK T,179644
67,MC MI MI_IDX T,176526
67,MC MI_IDX MK T,183211
67,MC MI MI_IDX MK,183699
67,MC MI MI_IDX MK T,173635
68,MI T,298
68,MC T,291
68,CI T,309
68,MK T,304
68,MC MI,304
68,CI MI,310
68,MI MK,315
68,CI MC,303
68,MC MK,309
68,CI MK,324
68,MC MI T,308
68,CI MI T,305
68,MI MK T,298
68,CI MC T,325
68,MC MK T,308
68,CI MK T,312
68,CI MC MI,302
68,MC MI MK,307
68,CI MI MK,298
68,CI MC MK,298
68,CI MC MI T,304
68,MC MI MK T,303
68,CI MI MK T,297
68,CI MC MK T,295
68,CI MC MI MK,307
68,CI MC MI MK T,306
69,MI T,97
69,MC T,93
69,CI T,94
69,MK T,94
69,MC MI,97
69,CI MI,98
69,MI MK,95
69,CI MC,96
69,MC MK,97
69,CI MK,98
69,MC MI T,97
69,CI MI T,93
69,MI MK T,93
69,CI MC T,97
69,MC MK T,99
69,CI MK T,98
69,CI MC MI,93
69,MC MI MK,90
69,CI MI MK,99
69,CI MC MK,99
69,CI MC MI T,98
69,MC MI MK T,95
69,CI MI MK T,94
69,CI MC MK T,96
69,CI MC MI MK,102
69,CI MC MI MK T,97
70,MI T,3956569
70,MI_IDX T,4043755
70,CI T,3794977
70,MK T,3748084
70,MI MI_IDX,4037571
70,CI MI,4101623
70,MI MK,3832185
70,CI MI_IDX,3975400
70,MI_IDX MK,3869609
70,CI MK,3900935
70,MI MI_IDX T,4014755
70,CI MI T,3723012
70,MI MK T,3977991
70,CI MI_IDX T,3955792
70,MI_IDX MK T,3961854
70,CI MK T,3736661
70,CI MI MI_IDX,3920441
70,MI MI_IDX MK,4022127
70,CI MI MK,3822172
70,CI MI_IDX MK,4013641
70,CI MI MI_IDX T,3884814
70,MI MI_IDX MK T,3881020
70,CI MI MK T,4038383
70,CI MI_IDX MK T,3876125
70,CI MI MI_IDX MK,4053100
70,CI MI MI_IDX MK T,4072309
